"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","person"
"9072","RT @DaulatDalimunte: Aku Rapopo

Untumu garing rapopo ! 

""Dari 263 Juta Rakyat, Jutaan Pendukung @Prabowo, Ratusan Ribu Kader @Gerindra Ma<U+2026>",FALSE,0,NA,2018-04-15 12:33:55,FALSE,NA,"985496439383035904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RBSiregar",12,TRUE,FALSE,NA,NA,"Prabowo"
"9073","RT @ferrykoto: Bro @faizalassegaf sampeyan onok opo? Sikap kritis itu bukan destruktif apalagi membenci membabi buta.

Satu hari serang @jo<U+2026>",FALSE,0,NA,2018-04-15 12:33:46,FALSE,NA,"985496402762522629",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taat_ulama",128,TRUE,FALSE,NA,NA,"Prabowo"
"9074","@prabowo tolong secepatnya diklarifikasi dengan data dan bukti yang valid...!!!",FALSE,0,"prabowo",2018-04-15 12:33:38,FALSE,NA,"985496366322401281","40580714","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","si1iwangi",0,FALSE,FALSE,NA,NA,"Prabowo"
"9075","@Grand_Light88 @Swarnadiva9 @rizkigross @nana___rosaa @SEKNAS_RI @takdelok @DonnyNadasi95 @wr200465 @hendriabidin2<U+2026> https://t.co/6r02mt1LRm",FALSE,2,"Grand_Light88",2018-04-15 12:33:28,TRUE,"985495545996181504","985496324643565569","3296045179","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArumsariTika",0,FALSE,FALSE,NA,NA,"Prabowo"
"9076","@CintaNKRI12 @LaelaTeea @bangagoeng96 @ArumsariTika @miyomi19 @SEKNAS_RI @DonnyNadasi95 @NghothotAl<U+2026> https://t.co/gilH5fIjHm",FALSE,3,"CintaNKRI12",2018-04-15 12:33:25,TRUE,"985493089287639040","985496312878518274","891673537949388801","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandro87732049",1,FALSE,FALSE,NA,NA,"Prabowo"
"9077","@Al_Fatih1453__ @FatihGaleh Inginnya TGB GN(TEGAR)untuk nusantara bijaksana(NUSA) brmartabat,aman,sejahtera,adil(BA<U+2026> https://t.co/y39zh4iUWb",FALSE,2,"Al_Fatih1453__",2018-04-15 12:33:07,TRUE,"985393337728315393","985496237955665920","194511676","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dimassuncoko82",1,FALSE,FALSE,NA,NA,"Prabowo"
"9078","@04Nakula @prabowo Pusar ke bawah yg hrs ditutup mas, pusar ke atas gpp. Sholatpun sah kalo telanjang dada. Tp lbh<U+2026> https://t.co/xyQjwFveh0",FALSE,6,"04Nakula",2018-04-15 12:33:06,TRUE,"985361625283612677","985496235418136576","887859014444371969","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rhomalhadiyana",0,FALSE,FALSE,NA,NA,"Prabowo"
"9079","@rizkigross @CintaNKRI12 @nana___rosaa @ArumsariTika @SEKNAS_RI @takdelok @DonnyNadasi95 @wr200465 @hendriabidin2<U+2026> https://t.co/gm1ekImMzm",FALSE,1,"rizkigross",2018-04-15 12:32:52,TRUE,"985491462870593536","985496175607300096","878684246725976064","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grand_Light88",1,FALSE,FALSE,NA,NA,"Prabowo"
"9080","RT @Swarnadiva9: @rizkigross @nana___rosaa @Grand_Light88 @ArumsariTika @SEKNAS_RI @takdelok @DonnyNadasi95 @wr200465 @hendriabidin2 @Indon<U+2026>",FALSE,0,NA,2018-04-15 12:32:44,FALSE,NA,"985496143483191296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArumsariTika",1,TRUE,FALSE,NA,NA,"Prabowo"
"9081","@prabowo apakah benar rumor yg mengatakan bahwa anda sempat mau merapat dan bersedia jadi cawapres jokowi? kami san<U+2026> https://t.co/Nx2nuu70dW",FALSE,0,"prabowo",2018-04-15 12:32:35,TRUE,NA,"985496103171670018","40580714","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","si1iwangi",0,FALSE,FALSE,NA,NA,"Prabowo"
"9082","RT @elfizal: Setuju!
#2019GantiPresiden karena  prabowo lah yg izinkan Pakdhe masuk gelanggang nasional dg pencitraan yg tak masuk akal..<U+2026>",FALSE,0,NA,2018-04-15 12:32:32,FALSE,NA,"985496090647539713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bangs0p0",40,TRUE,FALSE,NA,NA,"Prabowo"
"9083","RT @kasanmulyono: TGB TAK LELAH BERDAKWAH

#KamiMauTGB 
#KamiMauTGB
#KamiMauTGB
#KamiMauTGB
#KamiMauTGB
#KamiMauTGB 
#KamiMauTGB
#KamiMauTG<U+2026>",FALSE,0,NA,2018-04-15 12:31:53,FALSE,NA,"985495927786909696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whynu9",10,TRUE,FALSE,NA,NA,"Prabowo"
"9084","RT @04Nakula: Gua ngakak saat ada pendukung @prabowo bilang mereka sama gagah nya.. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

Pak @Nurmantyo_Gatot gagah saat berorasi membakar s<U+2026>",FALSE,0,NA,2018-04-15 12:31:40,FALSE,NA,"985495873835515912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunardihari",44,TRUE,FALSE,NA,NA,"Prabowo"
"9085","@Tommyleewijaya2 @bogelmbois @fadlizon @Gerindra @prabowo junjungan saya berarti suami saya dong... itu mah jamanny<U+2026> https://t.co/uGcUx72pQx",FALSE,0,"Tommyleewijaya2",2018-04-15 12:31:22,TRUE,"985416516387536896","985495797784502273","250667220","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","riskaeuy",0,FALSE,FALSE,NA,NA,"Prabowo"
"9086","RT @gerilyapolitik: Setelah @prabowo telanjang dada, @fadlizon minta @jokowi telanjang dada juga. Apakah Fadli adalah penggemar dada pria?<U+2026>",FALSE,0,NA,2018-04-15 12:30:41,FALSE,NA,"985495626908557313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","btungka1997",112,TRUE,FALSE,NA,NA,"Prabowo"
"9087","@Swarnadiva9 @rizkigross @nana___rosaa @ArumsariTika @SEKNAS_RI @takdelok @DonnyNadasi95 @wr200465 @hendriabidin2<U+2026> https://t.co/flcc19HZQF",FALSE,2,"Swarnadiva9",2018-04-15 12:30:22,TRUE,"985491487768043520","985495545996181504","925333824396861440","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grand_Light88",1,FALSE,FALSE,NA,NA,"Prabowo"
"9088","RT @CintaNKRI12: Heboh bngt sampai Viral video Bpk @prabowo  yg telanjang Dada dan mencari yg tdk ada u Bully yaa Bongs dungu <ed><U+00A0><U+00BD><ed><U+00B8><U+0086> nah ini Yg<U+2026>",FALSE,0,NA,2018-04-15 12:30:05,FALSE,NA,"985495475326365696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bunk_zae",593,TRUE,FALSE,NA,NA,"Prabowo"
